ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13170933,JG376933,08/10/2023 01:30:00 AM,059XX W SUPERIOR ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,true,false,1511,015,29,25,05,1136723,1904396,2023,09/15/2023 03:41:25 PM,41.893821316,-87.773315653,"(41.893821316, -87.773315653)"
13174502,JG381117,08/13/2023 01:20:00 PM,045XX S PAULINA ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,true,true,0924,009,15,61,04B,1165768,1874599,2023,09/15/2023 03:41:25 PM,41.811485813,-87.667491321,"(41.811485813, -87.667491321)"
13692407,JH543027,12/14/2024 07:54:00 PM,043XX W DICKENS AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,2522,025,35,20,08A,1147118,1913604,2024,12/22/2024 03:41:50 PM,41.918896492,-87.734901902,"(41.918896492, -87.734901902)"
13182682,JG390724,08/19/2023 07:00:00 PM,044XX S HONORE ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0924,009,15,61,08A,1164761,1875235,2023,09/15/2023 03:41:25 PM,41.813252421,-87.671166972,"(41.813252421, -87.671166972)"
13188484,JG397834,08/25/2023 09:45:00 PM,006XX E GRAND AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,1834,018,42,8,08B,1180796,1904058,2023,09/15/2023 03:41:25 PM,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
13193026,JG403252,08/30/2023 12:00:00 AM,011XX S TROY ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,true,true,1134,011,24,29,04A,1155533,1894984,2023,09/15/2023 03:41:25 PM,41.867636169,-87.704485536,"(41.867636169, -87.704485536)"
13194150,JG404621,08/30/2023 10:50:00 PM,063XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0825,008,16,66,14,1158801,1862516,2023,09/15/2023 03:41:25 PM,41.778473715,-87.693375946,"(41.778473715, -87.693375946)"
13194233,JG404487,08/30/2023 07:17:00 PM,001XX N STATE ST,0850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,true,false,0111,001,42,32,06,1176338,1901346,2023,09/15/2023 03:41:25 PM,41.884650262,-87.627915459,"(41.884650262, -87.627915459)"
13691601,JH542064,12/14/2024 12:08:00 AM,054XX S CORNELL AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,0234,002,5,41,26,1188172,1869776,2024,12/22/2024 03:41:50 PM,41.797745447,-87.585469563,"(41.797745447, -87.585469563)"
13195178,JG405402,08/29/2023 02:50:00 PM,037XX W SUNNYSIDE AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,1723,017,33,14,06,1150576,1929643,2023,09/15/2023 03:41:25 PM,41.962841876,-87.721776334,"(41.962841876, -87.721776334)"
13692964,JH543847,12/14/2024 11:00:00 AM,053XX S RICHMOND ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0923,009,14,63,08A,1157617,1869056,2024,12/22/2024 03:41:50 PM,41.796444494,-87.697539294,"(41.796444494, -87.697539294)"
13200649,JG412350,09/05/2023 09:32:00 AM,004XX W 27TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,true,false,0914,009,11,60,05,1173491,1886697,2023,09/15/2023 03:41:25 PM,41.844516108,-87.638805135,"(41.844516108, -87.638805135)"
13200892,JG412264,09/05/2023 02:55:00 PM,074XX S BLACKSTONE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,true,false,0324,003,8,43,03,1187489,1856139,2023,09/15/2023 03:41:25 PM,41.760340683,-87.588407406,"(41.760340683, -87.588407406)"
13201081,JG412890,09/05/2023 09:00:00 PM,026XX W CRYSTAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1423,014,26,24,08B,1158619,1908224,2023,09/15/2023 03:41:25 PM,41.903905346,-87.692793471,"(41.903905346, -87.692793471)"
